id,source,brand,model,year,mileage,price_asked,wilaya,condition,url,scraped_at,source_weight,paint_flag,is_duplicate,listing_type,price_before_taxes,customs_taxes,trim,annonce_posted_at
dece0c51-38c7-489a-8411-8ed5e542735c,Ouedkniss,Renault,Symbol,2018,85000,1850000,16 - Alger,bon,https://www.ouedkniss.com/automobiles/208/mock-ad-9,2026-05-14T10:49:23.071831+00:00,0.6,,False,occasion,,,,
355bf8f4-6d26-4b43-a9a3-8b27a90f25a1,Ouedkniss,Renault,Symbol,2018,85000,1850000,16 - Alger,bon,https://www.ouedkniss.com/automobiles/208/mock-ad-8,2026-05-14T10:49:22.848511+00:00,0.6,,False,occasion,,,,
226be36e-5d8d-4bda-91cc-9a53eeba0ace,Ouedkniss,Renault,Symbol,2018,85000,1850000,16 - Alger,bon,https://www.ouedkniss.com/automobiles/208/mock-ad-7,2026-05-14T10:49:22.624162+00:00,0.6,,False,occasion,,,,
19e4fe02-f548-442e-a2e5-186c3dd48df0,Ouedkniss,Renault,Symbol,2018,85000,1850000,16 - Alger,bon,https://www.ouedkniss.com/automobiles/208/mock-ad-6,2026-05-14T10:49:22.404746+00:00,0.6,,False,occasion,,,,
6df22e74-da79-480b-9544-6c219c5af24f,Ouedkniss,Renault,Symbol,2018,85000,1850000,16 - Alger,bon,https://www.ouedkniss.com/automobiles/208/mock-ad-5,2026-05-14T10:49:22.187288+00:00,0.6,,False,occasion,,,,
182e2a75-79ab-40b8-94c1-2212569e5b3a,Ouedkniss,Renault,Symbol,2018,85000,1850000,16 - Alger,bon,https://www.ouedkniss.com/automobiles/208/mock-ad-4,2026-05-14T10:49:21.955768+00:00,0.6,,False,occasion,,,,
73e792cc-4034-4690-ad83-e61fe9911683,Ouedkniss,Renault,Symbol,2018,85000,1850000,16 - Alger,bon,https://www.ouedkniss.com/automobiles/208/mock-ad-3,2026-05-14T10:49:21.721779+00:00,0.6,,False,occasion,,,,
9e9033f2-aa34-4efe-84ca-de3427d183be,Ouedkniss,Renault,Symbol,2018,85000,1850000,16 - Alger,bon,https://www.ouedkniss.com/automobiles/208/mock-ad-2,2026-05-14T10:49:21.438632+00:00,0.6,,False,occasion,,,,
ca6181b8-37aa-4fad-9116-93f8d2a7b9a1,Ouedkniss,Renault,Symbol,2018,85000,1850000,16 - Alger,bon,https://www.ouedkniss.com/automobiles/208/mock-ad-1,2026-05-14T10:49:21.219028+00:00,0.6,,False,occasion,,,,
58738f2a-927a-4888-a62c-fb026a1510ff,Ouedkniss,Renault,Symbol,2018,85000,1850000,16 - Alger,bon,https://www.ouedkniss.com/automobiles/208/mock-ad-0,2026-05-14T10:49:20.996851+00:00,0.6,,False,occasion,,,,
6e5a8280-4938-4a9e-b27b-ffd7f3bf972b,Ouedkniss,Renault,Symbol,2018,85000,1850000,16 - Alger,bon,https://www.ouedkniss.com/automobiles/stepway/mock-ad-9,2026-05-14T10:49:14.558708+00:00,0.6,,False,occasion,,,,
773ba35a-9ed8-43ee-8032-ded3c1ec562e,Ouedkniss,Renault,Symbol,2018,85000,1850000,16 - Alger,bon,https://www.ouedkniss.com/automobiles/stepway/mock-ad-8,2026-05-14T10:49:14.325924+00:00,0.6,,False,occasion,,,,
6e27502b-c28c-4be0-a25e-427c314e9e62,Ouedkniss,Renault,Symbol,2018,85000,1850000,16 - Alger,bon,https://www.ouedkniss.com/automobiles/stepway/mock-ad-7,2026-05-14T10:49:14.054699+00:00,0.6,,False,occasion,,,,
43507773-289c-4acc-9d32-3b5af5e04596,Ouedkniss,Renault,Symbol,2018,85000,1850000,16 - Alger,bon,https://www.ouedkniss.com/automobiles/stepway/mock-ad-6,2026-05-14T10:49:13.755746+00:00,0.6,,False,occasion,,,,
bb72186c-a707-4d3e-b2d2-4bcdebdbc742,Ouedkniss,Renault,Symbol,2018,85000,1850000,16 - Alger,bon,https://www.ouedkniss.com/automobiles/stepway/mock-ad-5,2026-05-14T10:49:13.544671+00:00,0.6,,False,occasion,,,,
4d744759-0bd1-43a8-a572-43fd3c02d691,Ouedkniss,Renault,Symbol,2018,85000,1850000,16 - Alger,bon,https://www.ouedkniss.com/automobiles/stepway/mock-ad-4,2026-05-14T10:49:13.339491+00:00,0.6,,False,occasion,,,,
022ddd34-f357-470c-84ea-b0cbc4b4d3f4,Ouedkniss,Renault,Symbol,2018,85000,1850000,16 - Alger,bon,https://www.ouedkniss.com/automobiles/stepway/mock-ad-3,2026-05-14T10:49:13.014277+00:00,0.6,,False,occasion,,,,
a4023213-7f78-47ae-97d1-a6e7e0eef9a7,Ouedkniss,Renault,Symbol,2018,85000,1850000,16 - Alger,bon,https://www.ouedkniss.com/automobiles/stepway/mock-ad-2,2026-05-14T10:49:12.749078+00:00,0.6,,False,occasion,,,,
3f12ab42-2886-4f04-a6dc-011a2656bf75,Ouedkniss,Renault,Symbol,2018,85000,1850000,16 - Alger,bon,https://www.ouedkniss.com/automobiles/stepway/mock-ad-1,2026-05-14T10:49:12.543927+00:00,0.6,,False,occasion,,,,
07b6db85-7266-4681-a5e4-4dc6d31202df,Ouedkniss,Renault,Symbol,2018,85000,1850000,16 - Alger,bon,https://www.ouedkniss.com/automobiles/stepway/mock-ad-0,2026-05-14T10:49:12.283908+00:00,0.6,,False,occasion,,,,
739bdb6c-f894-4606-a70c-6a980da3e022,Ouedkniss,Renault,Symbol,2018,85000,1850000,16 - Alger,bon,https://www.ouedkniss.com/automobiles/symbol/mock-ad-9,2026-05-14T10:49:05.768777+00:00,0.6,,False,occasion,,,,
cbba02b8-40b1-462d-839d-af1c87675313,Ouedkniss,Renault,Symbol,2018,85000,1850000,16 - Alger,bon,https://www.ouedkniss.com/automobiles/symbol/mock-ad-8,2026-05-14T10:49:05.519346+00:00,0.6,,False,occasion,,,,
8c754c35-637e-4fa5-8436-a5dd1e1e8f07,Ouedkniss,Renault,Symbol,2018,85000,1850000,16 - Alger,bon,https://www.ouedkniss.com/automobiles/symbol/mock-ad-7,2026-05-14T10:49:05.26136+00:00,0.6,,False,occasion,,,,
