id,source,brand,model,year,mileage,price_asked,wilaya,condition,url,scraped_at,source_weight,paint_flag,is_duplicate
a0b616f0-dd20-4c55-82f9-70f17cf04630,Ouedkniss,Renault,Symbol,2018,85000,1850000,16 - Alger,bon,https://www.ouedkniss.com/automobiles/symbol/mock-ad-0,2026-05-14T10:49:03.440496+00:00,0.6,,False
a35226c5-40be-46c9-b09e-93ad44547a7d,Ouedkniss,Renault,Symbol,2018,85000,1850000,16 - Alger,bon,https://www.ouedkniss.com/automobiles/symbol/mock-ad-1,2026-05-14T10:49:03.826097+00:00,0.6,,False
1ab0b3a4-d2a4-45f6-a076-aa2e053abcd4,Ouedkniss,Renault,Symbol,2018,85000,1850000,16 - Alger,bon,https://www.ouedkniss.com/automobiles/symbol/mock-ad-2,2026-05-14T10:49:04.043725+00:00,0.6,,False
2cce1fae-35f5-4cdf-b6fa-83c534196df7,Ouedkniss,Renault,Symbol,2018,85000,1850000,16 - Alger,bon,https://www.ouedkniss.com/automobiles/symbol/mock-ad-3,2026-05-14T10:49:04.252804+00:00,0.6,,False
bb920929-2470-4eff-8468-2eef30db6cfe,Ouedkniss,Renault,Symbol,2018,85000,1850000,16 - Alger,bon,https://www.ouedkniss.com/automobiles/symbol/mock-ad-4,2026-05-14T10:49:04.514681+00:00,0.6,,False
f68bdd3c-1c54-417e-9c94-08297bef74e9,Ouedkniss,Renault,Symbol,2018,85000,1850000,16 - Alger,bon,https://www.ouedkniss.com/automobiles/symbol/mock-ad-5,2026-05-14T10:49:04.74877+00:00,0.6,,False
e791c034-8e35-41a4-9ac8-6dd87346ed2c,Ouedkniss,Renault,Symbol,2018,85000,1850000,16 - Alger,bon,https://www.ouedkniss.com/automobiles/symbol/mock-ad-6,2026-05-14T10:49:05.040528+00:00,0.6,,False
8c754c35-637e-4fa5-8436-a5dd1e1e8f07,Ouedkniss,Renault,Symbol,2018,85000,1850000,16 - Alger,bon,https://www.ouedkniss.com/automobiles/symbol/mock-ad-7,2026-05-14T10:49:05.26136+00:00,0.6,,False
cbba02b8-40b1-462d-839d-af1c87675313,Ouedkniss,Renault,Symbol,2018,85000,1850000,16 - Alger,bon,https://www.ouedkniss.com/automobiles/symbol/mock-ad-8,2026-05-14T10:49:05.519346+00:00,0.6,,False
739bdb6c-f894-4606-a70c-6a980da3e022,Ouedkniss,Renault,Symbol,2018,85000,1850000,16 - Alger,bon,https://www.ouedkniss.com/automobiles/symbol/mock-ad-9,2026-05-14T10:49:05.768777+00:00,0.6,,False
07b6db85-7266-4681-a5e4-4dc6d31202df,Ouedkniss,Renault,Symbol,2018,85000,1850000,16 - Alger,bon,https://www.ouedkniss.com/automobiles/stepway/mock-ad-0,2026-05-14T10:49:12.283908+00:00,0.6,,False
3f12ab42-2886-4f04-a6dc-011a2656bf75,Ouedkniss,Renault,Symbol,2018,85000,1850000,16 - Alger,bon,https://www.ouedkniss.com/automobiles/stepway/mock-ad-1,2026-05-14T10:49:12.543927+00:00,0.6,,False
a4023213-7f78-47ae-97d1-a6e7e0eef9a7,Ouedkniss,Renault,Symbol,2018,85000,1850000,16 - Alger,bon,https://www.ouedkniss.com/automobiles/stepway/mock-ad-2,2026-05-14T10:49:12.749078+00:00,0.6,,False
022ddd34-f357-470c-84ea-b0cbc4b4d3f4,Ouedkniss,Renault,Symbol,2018,85000,1850000,16 - Alger,bon,https://www.ouedkniss.com/automobiles/stepway/mock-ad-3,2026-05-14T10:49:13.014277+00:00,0.6,,False
4d744759-0bd1-43a8-a572-43fd3c02d691,Ouedkniss,Renault,Symbol,2018,85000,1850000,16 - Alger,bon,https://www.ouedkniss.com/automobiles/stepway/mock-ad-4,2026-05-14T10:49:13.339491+00:00,0.6,,False
bb72186c-a707-4d3e-b2d2-4bcdebdbc742,Ouedkniss,Renault,Symbol,2018,85000,1850000,16 - Alger,bon,https://www.ouedkniss.com/automobiles/stepway/mock-ad-5,2026-05-14T10:49:13.544671+00:00,0.6,,False
43507773-289c-4acc-9d32-3b5af5e04596,Ouedkniss,Renault,Symbol,2018,85000,1850000,16 - Alger,bon,https://www.ouedkniss.com/automobiles/stepway/mock-ad-6,2026-05-14T10:49:13.755746+00:00,0.6,,False
6e27502b-c28c-4be0-a25e-427c314e9e62,Ouedkniss,Renault,Symbol,2018,85000,1850000,16 - Alger,bon,https://www.ouedkniss.com/automobiles/stepway/mock-ad-7,2026-05-14T10:49:14.054699+00:00,0.6,,False
773ba35a-9ed8-43ee-8032-ded3c1ec562e,Ouedkniss,Renault,Symbol,2018,85000,1850000,16 - Alger,bon,https://www.ouedkniss.com/automobiles/stepway/mock-ad-8,2026-05-14T10:49:14.325924+00:00,0.6,,False
6e5a8280-4938-4a9e-b27b-ffd7f3bf972b,Ouedkniss,Renault,Symbol,2018,85000,1850000,16 - Alger,bon,https://www.ouedkniss.com/automobiles/stepway/mock-ad-9,2026-05-14T10:49:14.558708+00:00,0.6,,False
58738f2a-927a-4888-a62c-fb026a1510ff,Ouedkniss,Renault,Symbol,2018,85000,1850000,16 - Alger,bon,https://www.ouedkniss.com/automobiles/208/mock-ad-0,2026-05-14T10:49:20.996851+00:00,0.6,,False
ca6181b8-37aa-4fad-9116-93f8d2a7b9a1,Ouedkniss,Renault,Symbol,2018,85000,1850000,16 - Alger,bon,https://www.ouedkniss.com/automobiles/208/mock-ad-1,2026-05-14T10:49:21.219028+00:00,0.6,,False
9e9033f2-aa34-4efe-84ca-de3427d183be,Ouedkniss,Renault,Symbol,2018,85000,1850000,16 - Alger,bon,https://www.ouedkniss.com/automobiles/208/mock-ad-2,2026-05-14T10:49:21.438632+00:00,0.6,,False
73e792cc-4034-4690-ad83-e61fe9911683,Ouedkniss,Renault,Symbol,2018,85000,1850000,16 - Alger,bon,https://www.ouedkniss.com/automobiles/208/mock-ad-3,2026-05-14T10:49:21.721779+00:00,0.6,,False
182e2a75-79ab-40b8-94c1-2212569e5b3a,Ouedkniss,Renault,Symbol,2018,85000,1850000,16 - Alger,bon,https://www.ouedkniss.com/automobiles/208/mock-ad-4,2026-05-14T10:49:21.955768+00:00,0.6,,False
6df22e74-da79-480b-9544-6c219c5af24f,Ouedkniss,Renault,Symbol,2018,85000,1850000,16 - Alger,bon,https://www.ouedkniss.com/automobiles/208/mock-ad-5,2026-05-14T10:49:22.187288+00:00,0.6,,False
19e4fe02-f548-442e-a2e5-186c3dd48df0,Ouedkniss,Renault,Symbol,2018,85000,1850000,16 - Alger,bon,https://www.ouedkniss.com/automobiles/208/mock-ad-6,2026-05-14T10:49:22.404746+00:00,0.6,,False
226be36e-5d8d-4bda-91cc-9a53eeba0ace,Ouedkniss,Renault,Symbol,2018,85000,1850000,16 - Alger,bon,https://www.ouedkniss.com/automobiles/208/mock-ad-7,2026-05-14T10:49:22.624162+00:00,0.6,,False
355bf8f4-6d26-4b43-a9a3-8b27a90f25a1,Ouedkniss,Renault,Symbol,2018,85000,1850000,16 - Alger,bon,https://www.ouedkniss.com/automobiles/208/mock-ad-8,2026-05-14T10:49:22.848511+00:00,0.6,,False
dece0c51-38c7-489a-8411-8ed5e542735c,Ouedkniss,Renault,Symbol,2018,85000,1850000,16 - Alger,bon,https://www.ouedkniss.com/automobiles/208/mock-ad-9,2026-05-14T10:49:23.071831+00:00,0.6,,False
77f0dddd-e89c-4365-b0fb-5091b9a2a179,ouedkniss_reference,Renault,Symbol,2015,25000,645000,Sétif,excellent,seed/renault/symbol/2015/25000/excellent,2026-05-15T10:46:57.191983+00:00,0.6,,False
fc370918-8fec-4da4-9bf8-53d7d950d447,ouedkniss_reference,Renault,Symbol,2015,45000,635000,Blida,excellent,seed/renault/symbol/2015/45000/excellent,2026-05-15T10:46:57.613115+00:00,0.6,,False
38ad81dd-4065-43e2-b7d2-879f3d61cbe5,ouedkniss_reference,Renault,Symbol,2015,60000,578000,Oran,bon,seed/renault/symbol/2015/60000/bon,2026-05-15T10:46:57.970364+00:00,0.6,,False
22a806bc-27f4-4b43-a8c0-56f3d30dd8a5,ouedkniss_reference,Renault,Symbol,2015,75000,564000,Alger,bon,seed/renault/symbol/2015/75000/bon,2026-05-15T10:46:58.416926+00:00,0.6,,False
